timestamp,author,message
2023-12-01 08:09:42+00:00,silky-lapwing,De bel en camera doet het niet bij ingang 1. Kan wel de deur op afstand open doen.
2023-12-23 11:37:44+00:00,soft-eland,Maar ik zie geen beweging door de camera

2024-05-25 21:02:34+00:00,vivid-rhinoceros,"Lekker dan, tijdje terug raam ingeslagen van een auto, band lek geprikt, duister figuur gesignaleerd bij ingang 2 en nu dit weer. Misschien toch eens gaan overwegen of er geen camera's geplaatst moeten worden dat geeft een stukje veiligheid en werkt preventief.👊🏻"
2024-05-26 07:23:18+00:00,cheerful-mule,Camera's is geen overbodige luxe! Het is het overwegen waard!
2024-05-27 15:11:44+00:00,cheerful-mule,"Het zou geweldig zijn als er eindelijk camera's in ons flatgebouw worden opgehangen! Het eerste waar de politie naar vraag als er wat gebeurd is, zijn camerabeelden. Alle flats in de Tobias Asserlaan hebben  camera's hangen Wij zijn de enige flat  zonder camera's!"
2024-05-27 15:54:20+00:00,carefree-lark,Het idee van camera's hebben we jaren geleden tijdens een vergadering naar voren gebracht en men vond het te duur.
2024-05-28 10:52:20+00:00,intense-toad,Ik heb begrepen dat er ook nepcamera's hangen en weet niet of er bij ons meer of minder criminaliteit is. Camera's richten op de openbare weg is niet toegestaan volgens mij.
2024-05-28 11:05:45+00:00,intense-toad,"Is dit geen optie voor degenen die graag een camera hebben? Gewoon op je eigen voordeur bevestigen, met of zonder abonnement."
2024-05-28 11:14:05+00:00,cheerful-mule,Onze veiligheid komt op de 1ste plaats! In het hele land hangen  er camera's op de openbareweg!
2024-05-29 09:38:19+00:00,vivid-rhinoceros,"Nog even over de camerabeveiliging. Ik heb  zojuist Richard Niesing gesproken. Hij was bij mij i.v.m onderhoud airco's. Ik heb hem gevraagd of hij bekend is met camerabeveiliging. Hij heeft al een zestigtal objecten voorzien van camerabeveiliging zo ook de flat tegenover de onze (kant van de parkeerplaats). Onze flat is de enige flat die geen camerabeveiliging heeft. Richard gaf aan dat in de flat tegenover ons sinds de camera's er zijn geen incidenten meer hebben plaats gevonden ( zoals ongenode gasten, bevuiling van de centrale hallen en liften en het vervolgens niet opruimen, hangjongeren op de 9e en vandalisme aan auto's of deals van louche figuren op de parkeerplaats). Verder gaf Richard aan dat je de camera's kunt laten registreren bij de site  camera in beeld. Dit is een site van de politie. Wat betreft de privacy is dat het filmen van openbare ruimte in principe niet mag maar dit wordt zwaar gedoogd, helemaal als de camerabeelden eventueel worden gedeeld met de site camera in beeld. Rest alleen nog de vraag of de eigenaren van de appartementen voor of tegen zijn m.b.t eventuele camerabeveiliging. Ter info: de flat tegenover ons heeft 4 buitencamera's, 4 camera's in de centrale hallen, 2 camera's in de liften en 2 camera's op de 9e etage."
2024-05-29 10:20:46+00:00,cheerful-mule,"Dankjewel voor de uitgebreide info Martin, ik ben er een voorstander van dat er camera's in onze flat komen te hangen,voorkomt een heleboel narigheid 👍"
2024-06-01 19:23:19+00:00,vivid-rhinoceros,Welke randdebiel doet dit👺. Echt tijd om camera's op te hangen dan kunnen we zien wie dit doet.
2024-06-18 05:38:22+00:00,cheerful-mule,Als er camera's  hangen is het probleem opgelost!!!
2024-06-24 23:25:43+00:00,carefree-lark,"Camera ophangen, dan kun je ook zien wie wat vernield."
2024-06-26 22:19:06+00:00,radiant-coyote,"In mijn geval is het niet perse dat ik principieel tegen cameratoezicht ben, maar ik vind het wat voorbarig om voor te stemmen voordat er een uitgewerkt plan/overzicht is qua aanschaf- en installatiekosten, onderhoudskosten en waar de camera’s komen en wie er toegang krijgt tot de beelden:)."
2024-06-26 22:24:30+00:00,joyful-okapi,Je kan iedereen toegang geven tot beelden. Zolang je een login hebt. Je kan ook 1 persoon toegang geven. Je kan ook alleen toegang krijgen tot bepaalde camera’s.  Mogelijkheden genoeg.
2024-06-26 22:26:36+00:00,ethereal-lapwing,Ik stem eventueel voor als alleen de politie toegang krijgt tot de camera beelden die ze kunnen opvragen bij het bedrijf die de camera’s installeert .
2024-06-26 22:33:47+00:00,ethereal-lapwing,Werk bij een woningcorporatie en daar hebben we uiteraard ook camera’s hangen in de complexen. Alleen is het wel zo dat alleen de politie de beelden op mag vragen bij het bedrijf die de camera’s heeft geplaatst.
2024-06-26 22:35:04+00:00,happy-beaver,Belangrijk is om eerst het doel van de camera’s vast te stellen. Van daaruit kan er vervolgens naar de vorm worden gekeken
2024-06-27 10:51:48+00:00,carefree-lark,Helpt niet. Zelf met echte camera's zijn ze het gebouw binnen gekomen. Mijn buurvrouw Joan heeft een camera en zij kon alles zien en heeft ons ook gemeld. Het waren 2 mannen die de deuren aan het uitproberen waren.
2024-06-27 10:54:38+00:00,intense-toad,Wat stel je dan voor? Geen camera's?
2024-06-27 11:43:43+00:00,carefree-lark,"Overal echte camera's en ook optreden als we iets op de camera zien. Toen Joan de foto's toonde, begonnen sommige te klagen over privacy. Zodra een dief/inbreker zonder toestemming jouw pand is binnen gelopen heeft die geen recht op privacy. Dan moet zijn/haar foto overal getoond worden zodat anderen ook gewaarschuwd zijn."
2024-06-27 12:34:24+00:00,cheerful-mule,Aub wel camera's  plaatsen.
2024-06-27 13:05:07+00:00,waggish-porcupine,"Wij (nr 245) zijn in principe niet tegen de aanschaf van camera’s, maar wel als dat om financiële redenen ten koste gaat van zaken die in onze ogen ook heel belangrijk zijn, namelijk het toekomstbestendig maken (verduurzamen) van onze flat."
2024-06-27 18:30:48+00:00,happy-beaver,"Voor mijn gevoel is dit niet iets wat je met een simpele 'ja of nee; peiling kan beslissen. Zelf (219) ben ik voor de aanschaf van camera's, wel onder bepaalde voorwaarden (bv alleen politie/bestuur heeft toegang tot de beelden, camera's alleen op bepaalde plekken, extra maatregelen ala bewonersgedrag, borden, nepcamera's, etc.). Als ik die niet zie, stem ik nee. Daarom kan ik het niet zo 1-2-3 invullen"
2024-06-27 18:43:17+00:00,eye-catching-hare,"We willen eerst weten voordat we het gaan uitwerken en offertes gaan opvragen of er bewoners zijn die dit ook graag willen. Uiteraard worden de beelden niet inzichtbaar voor andere bewoners en alleen maar bekeken als er iets plaatsvindt, alle beelden worden automatisch gewist na een periode van hooguit een maand. Bij het plaatsen van camera's zijn we verplicht bordjes binnen en buiten te plaatsen om bezoekers en niet genodigden op de hoogte te brengen van cameratoezicht. Van de flat achter heb ik gehoord dat zij heel tevreden zijn en niet kapitale hebben uitgegeven hiervoor. Het gaat er dus NU alleen om zijn er bewoners voor of tegen voordat we er energie in steken."
2024-06-27 18:54:39+00:00,carefree-lark,Van mij nr. 230 mogen er camera's geplaatst worden.
2024-06-27 18:56:12+00:00,happy-beaver,"Het uitwerken begint juist nu, genoeg varianten in de chat voorbij zien komen (iedereen toegang tot de beelden tot alleen de politie is al één spectra aan mogelijkheden, laat staan nog over de locaties van de camera's en andere zaken rondom de beveiliging). Als, bij wijze van spreken, iedereen voor camera's zou zijn maar de ene helft optie A wil en de andere helft optie B, dan houdt het toch op? Dan komen er geen camera's (tenzij er een meerderheid is)."
2024-06-27 19:05:50+00:00,intense-toad,"Kan er misschien een camera-commissie komen? Angelique, kan jij dat regelen? Dan kunnen die leden verder met het uitwerken van de mogelijke opties ter stemming. Het lijkt me duidelijk dat er sowieso een optie moet zijn waarin alleen de politie en/of het beveilingsbedrijf de beelden kan terugzien en niet iemand uit het flatgebouw."
2024-06-27 20:28:04+00:00,springy-hare,"Hebben we toestemming van de gemeente nodig,voor camera’s die de openbare weg filmen?"
2024-06-27 21:02:18+00:00,ethereal-lapwing,Waarom mag je de openbare weg niet filmen? Op de straat mag geen camera gericht staan. Dit is om de privacy van voorbijgangers te beschermen. Op de website van de Autoriteit Persoonsgegevens staat meer informatie over cameratoezicht in en rond woningen.
2024-06-27 21:07:36+00:00,upbeat-pigeon,"Beste buren, is het een idee om een informele sessie in de hal beneden te organiseren? Dan zorgen we ervoor dat iemand langskomt van een bedrijf die aan de Tobias Asserlaan bij meerdere flats camera’s heeft geplaatst. Er is gelegenheid om vragen te stellen en hij kan toelichting geven over de verschillende mogelijkheden. We kunnen alvast een offerte opvragen zodat we een idee hebben van de kosten."
2024-06-27 22:28:25+00:00,intense-toad,"Dit is de firma die bij de hoge flat achter ons de camera's heeft geïnstalleerd, over die firma is men daar zeer tevreden. Wij gaan 1 januari over naar van Roemburg vve Beheer, flat 2 zit daar al bij, zij krijgen over enkele maanden een zeer modern camerasysteem. Samenwerking met flat 2 is ook een optie. De nieuw op te richten commissie kan de diverse opties onderzoeken en in een ledenvergadering ter stemming voorleggen. Graag ook voorlichting door andere firma's. ‎[27/06/2024, 22:31:55] Herman: ‎image omitted"
2024-06-28 12:44:52+00:00,eye-catching-hare,"Ik geef de camera commissie retour aan het bestuur.  Zij mogen de offertes opvragen, plan uitwerken en voor de  bewoners die wel interesse hebben in cameratoezicht voorlichten. Er komen te weinig reacties van de bewoners in de app groep en teveel discussies op de app. Het toevoegen van een ervaren specialist in deze app zodat ieder zijn vraag kan stellen en daar antwoord op kan krijgen en eventuele voorlichting door een ervaren specialist in hal 2 vindt de voorzitter geen optie. We zijn straks de enige flat zonder cameratoezicht, houdt er wel rekening mee dat we meer overlast kunnen verwachten o.a. hangjeugd, diefstal, inbraak en vernielingen etc."
2024-06-28 13:12:46+00:00,waggish-porcupine,"Ik denk dat de discussie juist voortkomt uit het feit dat er onvoldoende duidelijkheid is (over mogelijkheden, kosten, privacy etc.) om via Whatssapp tot een overeenstemming te komen. Dit speelt niet alleen bij de camera’s, maar bijvoorbeeld ook bij de mogelijkheden tot verduurzaming. Op dat punt is besloten om een commissie op te starten om de mogelijkheden en kosten in kaart te brengen en met een voorstel te komen. Wat ik eerder zei: wij zijn in principe niet tegen camera’s, maar het geld kan maar een keer uitgegeven worden. Ik denk dat het belangrijk is om wel de mogelijkheden te onderzoeken, los van de vraag of er daadwerkelijk wordt overgegaan tot aanschaf. Dit is ook wat wij doen bij de duurzaamheidscommissie. Want niet alleen op het punt van camera’s lopen wij achter op andere flats, maar ook op het punt van verduurzaming."
2024-06-28 13:16:14+00:00,intense-toad,"Ik bedoelde: Jammer dat je je opeens terugtrekt, misschien zijn er anderen die de camera-kar willen trekken. Er zijn genoeg voorstanders. ‎[28/06/2024, 17:51:45] ~ R.A.W.: beleidsregels_cameratoezicht-.pdf • ‎68 pages ‎document omitted ‎[28/06/2024, 21:53:14] Tba 215 Agatha: ‎image omitted"
2024-07-05 19:17:40+00:00,intense-toad,"Misschien willen enkele leden van onze VvE  een camera- voorstel gedetailleerd uitwerken met  bijvoorbeeld drie offertes. Eventueel van de firma die de hoge flat achter ons van camera's heeft voorzien, van Van Leeuwen die onze eigen intercom heeft aangelegd en nog een derde offerte. Er is tevens de goedkope mogelijkheid van een dummy waardoor je niets te maken hebt met privacy en dingen als: wie bekijkt de beelden. En daarna bekijken op een te beleggen officiële vve vergadering of er een meerderheid voor welke optie dan ook is. Vanzelfsprekend moet ook de optie: geen cameratoezicht aangeboden worden."
2024-08-07 20:10:35+00:00,carefree-lark,Het is tijd voor camera's.
2024-08-07 20:23:22+00:00,springy-hare,"Na de vervelende oplichting van een van onze bewoners vroeg de politie ook al om camerabeelden.Die zijn er niet.Wij hebben in september een afspraak met Richard Niessen om een uitleg te geven over camera’s.Hij heeft in de volgende flat de camera’s daar geplaatst.Hij geeft de voors en tegens van deze installatie aan.Als er een definitieve datum is,geef ik dat door en zijn de geïnteresseerden van harte welkom."
2024-09-11 16:25:50+00:00,springy-hare,"Beste medebewoners,De discussie over wel of geen camera’s in onze flat bleef hangen op,naar mijn mening,het gebrek aan informatie.Daarom heb ik Richard Niesing gevraagd om voorlichting te geven.Hij heeft in onze flats diverse airco’s geïnstalleerd en de andere flat van camera’s voorzien.Ik wil graag de voors en tegens horen.Ook over privacyregel Dan wil ik daarna een mening vormen.       Woensdagavond 25 september om 19.00u komt hij bij ons thuis(214).Ook u bent welkom.Geef wel even een berichtje,want er passen natuurlijk geen 50 mensen in onze kamer.Eventueel een krukje of vouwstoeltje meenemen.Hartelijke groet.Wil Pouw."
2024-09-22 14:19:49+00:00,springy-hare,"Beste buren,ov11 september heb ik een berichtje gestuurd over de groot aantal vragen die er zijn over camera toezicht in/bij onze flat.Richard Niesen komt woensdag om 19.00u antwoord geven op al de vragen die er leven.De opkomst is tot op heden erg klein.Daarom nog even een herinnering:woensdag 25 september op 214.Heb je vragen?Hier ligt de kans om ze te stellen! ‎[23/09/2024, 11:39:56] ~ Machteld Bouman: ‎image omitted ‎[23/09/2024, 11:39:57] ~ Machteld Bouman: ‎image omitted"

2024-10-03 15:07:32+00:00,eye-catching-hare,Wie is er tussen14.55 en15.00 met de lift 2e ingang naar boven gegaan? Een stuk natte snotprop op de liftplaat. Viezerikken 😡 Toch maar wel camera in de lift!
2025-01-13 09:50:57+00:00,intense-toad,Medewerker AT5 zei dat het vandaag wordt uitgezonden. De wethouder en de projectmanager wilden helaas het gesprek voor de camera niet met ons aan gaan.
2025-01-18 16:41:16+00:00,carefree-lark,Misschien een foto binnen het gebouw met een camera erop gericht.
2025-01-27 18:00:22+00:00,cheerful-boar,Zijn er al 3 offertes opgevraagd voor de camera's?
2025-01-27 19:51:24+00:00,intense-toad,"Het bestuur heeft het agendapunt 'schilderwerk voorzijde' juist naar voren geschoven omdat het schilderwerk ingepland moet worden, we hebben het graag vóó de zomervakantie en het schildersbedrijf moet de nodige vergunningen van de gemeente aanvragen. Dit kan niet wachten tot april/mei wanneer de 'grote' ledenvergadering is. Dan zijn we te laat voor dit schildersbedrij. Onze nieuwe beheermaatschappij Van Roemburg kan niet eerder een vergadering organiseren, ook omdat wij nieuw zijn bij hen. Het agenda punt camera's komt aan de orde in de ""grote"" ledenvergadering in april/mei omdat dat punt veel discussie, emoties en vragen met zich meebrengt. Die discussie etc. wil het bestuur heel graag laten leiden door iemand van Van Roemburg, die ervaring heeft met dit onderwerp. Het agendapunt 'schilderwerk voorzijde'  is een aanzienlijk makkelijker punt voor het bestuur om zelf te organiseren."
2025-01-27 20:29:39+00:00,intense-toad,"Een officiële vve ledenvergadering waar over agendapunten wordt gepraat, meningen worden uitgewisseld en wordt gestemd is iets anders dan een informele voorlichtingsavond. De medewerker van Van Roemburg leidt alleen de discussie, heeft verder geen professionele inbreng wat betreft camera's. Voor de inhoudelijke toelichting zijn Jos en Martin die zich in het onderwerp hebben verdiept en die de offertes hebben doorgespit. De medewerker van Van Roemburg weet wel hoe hij/zij de discussie over een gevoelig vve-onderwerp als cameratoezicht in goede banen kan leiden, voordat er gestemd wordt. Er zullen vragen zijn, ook van mensen die niet bij de informele bijeenkomst waren. Die mogelijkheid mag de leden die niet bij jullie aanwezig waren, niet worden ontnomen. Vanzelfsprekend zullen de vragen door Jos en Martin beantwoord worden, omdat zij van de hoed en de rand weten. Van het passeren van Jos en Martin die na bestudering van de diverse offertes een aanbeveling zullen doen in de 'grote' vergadering is vanzelfsprekend geen enkele sprake. Na het beantwoorden van vragen tijdens de vergadering in april/mei wordt over die aanbeveling gestemd. Het bestuur is volgens mij geheel transparant, wij hebben dit zo zorgvuldig met elkaar besproken."

2025-02-28 15:59:21+00:00,sunny-gazelle,"Beste bestuursleden,  Is de stemming over de camera's,  anoniem?  Gaarne alleen ja of nee antwoorden."
2025-02-28 16:47:57+00:00,eye-catching-hare,Ten eerste wordt er altijd anoniem gestemd net zoals met het schilderwerk. 2e of er wel of niet camera's komen interesseert me geen ene moer. Het enige wat ik vervelend vindt dat er mensen zijn die altijd commentaar hebben en zelf niks inbrengen. Dat gekonkel en schijnheiligheid  schiet bij mij in het verkeerde keelgat.🤮
